country,dataset_name,cleaned_filename,data_type,total_fs,trend_value,risk,expected_return
US,Q2M,2014_11~2015_01,Train,10000000.0,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10037787.189999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10085530.404999997,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10080403.875,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10095541.723000001,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10087901.676999997,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10079427.915,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10082508.452,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10147636.235,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10178329.094999999,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10194603.847,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10244959.397,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10275709.348000001,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10269404.328000002,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10296402.807000004,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10309305.976,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10322098.48,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10326438.259999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10326438.259999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10391910.202999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10380859.137000002,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10388256.736999996,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10426853.432999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10408706.101999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10433751.899999999,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10498494.64,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10532506.759999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10510028.618,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10565291.064999998,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10569739.573000003,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10643786.855999999,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10637136.045999996,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10607749.912,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10603596.593000002,0.5999066144808445,30362.47081957637,18214.64707664549
US,Q2M,2014_11~2015_01,Train,10622228.765,0.5999066144808445,30362.47081957637,18214.64707664549
