country,dataset_name,cleaned_filename,data_type,stock_code,category
US,H#,2020_Q3-Q4,Train,WMT,一般交易
US,H#,2020_Q3-Q4,Train,PG,一般交易
US,H#,2020_Q3-Q4,Train,NKE,一般交易
US,H#,2020_Q3-Q4,Train,DIS,一般交易
US,H#,2020_Q3-Q4,Train,HON,一般交易
US,H#,2020_Q3-Q4,Train,IBM,一般交易
US,H#,2020_Q3-Q4,Train,CAT,一般交易
US,H#,2020_Q3-Q4,Train,BA,一般交易
US,H#,2020_Q3-Q4,Train,V,融券交易
US,H#,2020_Q3-Q4,Train,CVX,融券交易
US,H#,2020_Q3-Q4,Train,HD,融券交易
US,H#,2020_Q3-Q4,Train,MRK,融券交易
US,H#,2020_Q3-Q4,Train,CSCO,融券交易
US,H#,2020_Q3-Q4,Train,INTC,融券交易
US,H#,2020_Q3-Q4,Train,AXP,融券交易
US,H#,2020_Q3-Q4,Train,MMM,融券交易
US,H#,2020_Q3-Q4,Train,WMT,融券交易
US,H#,2020_Q3-Q4,Train,PG,融券交易
US,H#,2020_Q3-Q4,Train,NKE,融券交易
US,H#,2020_Q3-Q4,Train,DIS,融券交易
US,H#,2020_Q3-Q4,Train,HON,融券交易
US,H#,2020_Q3-Q4,Train,IBM,融券交易
US,H#,2020_Q3-Q4,Train,CAT,融券交易
US,H#,2020_Q3-Q4,Train,BA,融券交易
US,H#,2020_Q3-Q4,Train,V,融券交易
US,H#,2020_Q3-Q4,Train,CVX,融券交易
US,H#,2020_Q3-Q4,Train,HD,融券交易
US,H#,2020_Q3-Q4,Train,MRK,融券交易
US,H#,2020_Q3-Q4,Train,CSCO,融券交易
US,H#,2020_Q3-Q4,Train,INTC,融券交易
US,H#,2020_Q3-Q4,Train,AXP,融券交易
US,H#,2020_Q3-Q4,Train,MMM,融券交易
