country,dataset_name,cleaned_filename,data_type,stock_code,category
US,H2M,2019_03-08,Train,MSFT,一般交易
US,H2M,2019_03-08,Train,V,一般交易
US,H2M,2019_03-08,Train,WMT,一般交易
US,H2M,2019_03-08,Train,PG,一般交易
US,H2M,2019_03-08,Train,HD,一般交易
US,H2M,2019_03-08,Train,KO,一般交易
US,H2M,2019_03-08,Train,MCD,一般交易
US,H2M,2019_03-08,Train,IBM,一般交易
US,H2M,2019_03-08,Train,AXP,一般交易
US,H2M,2019_03-08,Train,AAPL,融券交易
US,H2M,2019_03-08,Train,UNH,融券交易
US,H2M,2019_03-08,Train,JNJ,融券交易
US,H2M,2019_03-08,Train,MRK,融券交易
US,H2M,2019_03-08,Train,CSCO,融券交易
US,H2M,2019_03-08,Train,NKE,融券交易
US,H2M,2019_03-08,Train,DIS,融券交易
US,H2M,2019_03-08,Train,VZ,融券交易
US,H2M,2019_03-08,Train,HON,融券交易
US,H2M,2019_03-08,Train,CRM,融券交易
US,H2M,2019_03-08,Train,CAT,融券交易
US,H2M,2019_03-08,Train,BA,融券交易
US,H2M,2019_03-08,Train,MMM,融券交易
US,H2M,2019_03-08,Train,TRV,融券交易
US,H2M,2019_03-08,Train,DD,融券交易
US,H2M,2019_03-08,Train,MSFT,融券交易
US,H2M,2019_03-08,Train,V,融券交易
US,H2M,2019_03-08,Train,WMT,融券交易
US,H2M,2019_03-08,Train,PG,融券交易
US,H2M,2019_03-08,Train,HD,融券交易
US,H2M,2019_03-08,Train,KO,融券交易
US,H2M,2019_03-08,Train,MCD,融券交易
US,H2M,2019_03-08,Train,IBM,融券交易
US,H2M,2019_03-08,Train,AXP,融券交易
US,H2M,2019_03-08,Train,AAPL,融券交易
US,H2M,2019_03-08,Train,UNH,融券交易
US,H2M,2019_03-08,Train,JNJ,融券交易
US,H2M,2019_03-08,Train,MRK,融券交易
US,H2M,2019_03-08,Train,CSCO,融券交易
US,H2M,2019_03-08,Train,NKE,融券交易
US,H2M,2019_03-08,Train,DIS,融券交易
US,H2M,2019_03-08,Train,VZ,融券交易
US,H2M,2019_03-08,Train,HON,融券交易
US,H2M,2019_03-08,Train,CRM,融券交易
US,H2M,2019_03-08,Train,CAT,融券交易
US,H2M,2019_03-08,Train,BA,融券交易
US,H2M,2019_03-08,Train,MMM,融券交易
US,H2M,2019_03-08,Train,TRV,融券交易
US,H2M,2019_03-08,Train,DD,融券交易
