country,dataset_name,cleaned_filename,data_type,stock_code,category
US,H2Q,2014_Q3-Q4,Train,MSFT,一般交易
US,H2Q,2014_Q3-Q4,Train,UNH,一般交易
US,H2Q,2014_Q3-Q4,Train,WMT,一般交易
US,H2Q,2014_Q3-Q4,Train,PG,一般交易
US,H2Q,2014_Q3-Q4,Train,HD,一般交易
US,H2Q,2014_Q3-Q4,Train,AMGN,一般交易
US,H2Q,2014_Q3-Q4,Train,GS,一般交易
US,H2Q,2014_Q3-Q4,Train,BA,一般交易
US,H2Q,2014_Q3-Q4,Train,MMM,一般交易
US,H2Q,2014_Q3-Q4,Train,TRV,一般交易
US,H2Q,2014_Q3-Q4,Train,DD,一般交易
US,H2Q,2014_Q3-Q4,Train,JNJ,融券交易
US,H2Q,2014_Q3-Q4,Train,CVX,融券交易
US,H2Q,2014_Q3-Q4,Train,MRK,融券交易
US,H2Q,2014_Q3-Q4,Train,MCD,融券交易
US,H2Q,2014_Q3-Q4,Train,HON,融券交易
US,H2Q,2014_Q3-Q4,Train,CAT,融券交易
US,H2Q,2014_Q3-Q4,Train,AXP,融券交易
US,H2Q,2014_Q3-Q4,Train,MSFT,融券交易
US,H2Q,2014_Q3-Q4,Train,UNH,融券交易
US,H2Q,2014_Q3-Q4,Train,WMT,融券交易
US,H2Q,2014_Q3-Q4,Train,PG,融券交易
US,H2Q,2014_Q3-Q4,Train,HD,融券交易
US,H2Q,2014_Q3-Q4,Train,AMGN,融券交易
US,H2Q,2014_Q3-Q4,Train,GS,融券交易
US,H2Q,2014_Q3-Q4,Train,BA,融券交易
US,H2Q,2014_Q3-Q4,Train,MMM,融券交易
US,H2Q,2014_Q3-Q4,Train,TRV,融券交易
US,H2Q,2014_Q3-Q4,Train,DD,融券交易
US,H2Q,2014_Q3-Q4,Train,JNJ,融券交易
US,H2Q,2014_Q3-Q4,Train,CVX,融券交易
US,H2Q,2014_Q3-Q4,Train,MRK,融券交易
US,H2Q,2014_Q3-Q4,Train,MCD,融券交易
US,H2Q,2014_Q3-Q4,Train,HON,融券交易
US,H2Q,2014_Q3-Q4,Train,CAT,融券交易
US,H2Q,2014_Q3-Q4,Train,AXP,融券交易
