country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Q#,2012_Q2,Train,UNH,一般交易
US,Q#,2012_Q2,Train,JNJ,一般交易
US,Q#,2012_Q2,Train,WMT,一般交易
US,Q#,2012_Q2,Train,HD,一般交易
US,Q#,2012_Q2,Train,VZ,一般交易
US,Q#,2012_Q2,Train,AMGN,一般交易
US,Q#,2012_Q2,Train,CAT,一般交易
US,Q#,2012_Q2,Train,AXP,一般交易
US,Q#,2012_Q2,Train,BA,一般交易
US,Q#,2012_Q2,Train,MMM,一般交易
US,Q#,2012_Q2,Train,TRV,一般交易
US,Q#,2012_Q2,Train,MSFT,融券交易
US,Q#,2012_Q2,Train,PG,融券交易
US,Q#,2012_Q2,Train,MCD,融券交易
US,Q#,2012_Q2,Train,HON,融券交易
US,Q#,2012_Q2,Train,GS,融券交易
US,Q#,2012_Q2,Train,UNH,融券交易
US,Q#,2012_Q2,Train,JNJ,融券交易
US,Q#,2012_Q2,Train,WMT,融券交易
US,Q#,2012_Q2,Train,HD,融券交易
US,Q#,2012_Q2,Train,VZ,融券交易
US,Q#,2012_Q2,Train,AMGN,融券交易
US,Q#,2012_Q2,Train,CAT,融券交易
US,Q#,2012_Q2,Train,AXP,融券交易
US,Q#,2012_Q2,Train,BA,融券交易
US,Q#,2012_Q2,Train,MMM,融券交易
US,Q#,2012_Q2,Train,TRV,融券交易
US,Q#,2012_Q2,Train,MSFT,融券交易
US,Q#,2012_Q2,Train,PG,融券交易
US,Q#,2012_Q2,Train,MCD,融券交易
US,Q#,2012_Q2,Train,HON,融券交易
US,Q#,2012_Q2,Train,GS,融券交易
