country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Q2M,2018_09-11,Train,MRK,一般交易
US,Q2M,2018_09-11,Train,KO,一般交易
US,Q2M,2018_09-11,Train,MCD,一般交易
US,Q2M,2018_09-11,Train,DIS,一般交易
US,Q2M,2018_09-11,Train,CAT,一般交易
US,Q2M,2018_09-11,Train,AXP,一般交易
US,Q2M,2018_09-11,Train,BA,一般交易
US,Q2M,2018_09-11,Train,TRV,一般交易
US,Q2M,2018_09-11,Train,WBA,一般交易
US,Q2M,2018_09-11,Train,AAPL,融券交易
US,Q2M,2018_09-11,Train,UNH,融券交易
US,Q2M,2018_09-11,Train,WMT,融券交易
US,Q2M,2018_09-11,Train,JPM,融券交易
US,Q2M,2018_09-11,Train,CVX,融券交易
US,Q2M,2018_09-11,Train,NKE,融券交易
US,Q2M,2018_09-11,Train,VZ,融券交易
US,Q2M,2018_09-11,Train,HON,融券交易
US,Q2M,2018_09-11,Train,IBM,融券交易
US,Q2M,2018_09-11,Train,GS,融券交易
US,Q2M,2018_09-11,Train,MMM,融券交易
US,Q2M,2018_09-11,Train,DD,融券交易
US,Q2M,2018_09-11,Train,MRK,融券交易
US,Q2M,2018_09-11,Train,KO,融券交易
US,Q2M,2018_09-11,Train,MCD,融券交易
US,Q2M,2018_09-11,Train,DIS,融券交易
US,Q2M,2018_09-11,Train,CAT,融券交易
US,Q2M,2018_09-11,Train,AXP,融券交易
US,Q2M,2018_09-11,Train,BA,融券交易
US,Q2M,2018_09-11,Train,TRV,融券交易
US,Q2M,2018_09-11,Train,WBA,融券交易
US,Q2M,2018_09-11,Train,AAPL,融券交易
US,Q2M,2018_09-11,Train,UNH,融券交易
US,Q2M,2018_09-11,Train,WMT,融券交易
US,Q2M,2018_09-11,Train,JPM,融券交易
US,Q2M,2018_09-11,Train,CVX,融券交易
US,Q2M,2018_09-11,Train,NKE,融券交易
US,Q2M,2018_09-11,Train,VZ,融券交易
US,Q2M,2018_09-11,Train,HON,融券交易
US,Q2M,2018_09-11,Train,IBM,融券交易
US,Q2M,2018_09-11,Train,GS,融券交易
US,Q2M,2018_09-11,Train,MMM,融券交易
US,Q2M,2018_09-11,Train,DD,融券交易
