country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Q2M,2020_11~2021_01,Train,AAPL,一般交易
US,Q2M,2020_11~2021_01,Train,JNJ,一般交易
US,Q2M,2020_11~2021_01,Train,WMT,一般交易
US,Q2M,2020_11~2021_01,Train,CSCO,一般交易
US,Q2M,2020_11~2021_01,Train,DIS,一般交易
US,Q2M,2020_11~2021_01,Train,GS,一般交易
US,Q2M,2020_11~2021_01,Train,INTC,一般交易
US,Q2M,2020_11~2021_01,Train,AXP,一般交易
US,Q2M,2020_11~2021_01,Train,MMM,一般交易
US,Q2M,2020_11~2021_01,Train,DD,一般交易
US,Q2M,2020_11~2021_01,Train,UNH,融券交易
US,Q2M,2020_11~2021_01,Train,PG,融券交易
US,Q2M,2020_11~2021_01,Train,CVX,融券交易
US,Q2M,2020_11~2021_01,Train,HD,融券交易
US,Q2M,2020_11~2021_01,Train,MRK,融券交易
US,Q2M,2020_11~2021_01,Train,MCD,融券交易
US,Q2M,2020_11~2021_01,Train,VZ,融券交易
US,Q2M,2020_11~2021_01,Train,HON,融券交易
US,Q2M,2020_11~2021_01,Train,IBM,融券交易
US,Q2M,2020_11~2021_01,Train,CAT,融券交易
US,Q2M,2020_11~2021_01,Train,TRV,融券交易
US,Q2M,2020_11~2021_01,Train,AAPL,融券交易
US,Q2M,2020_11~2021_01,Train,JNJ,融券交易
US,Q2M,2020_11~2021_01,Train,WMT,融券交易
US,Q2M,2020_11~2021_01,Train,CSCO,融券交易
US,Q2M,2020_11~2021_01,Train,DIS,融券交易
US,Q2M,2020_11~2021_01,Train,GS,融券交易
US,Q2M,2020_11~2021_01,Train,INTC,融券交易
US,Q2M,2020_11~2021_01,Train,AXP,融券交易
US,Q2M,2020_11~2021_01,Train,MMM,融券交易
US,Q2M,2020_11~2021_01,Train,DD,融券交易
US,Q2M,2020_11~2021_01,Train,UNH,融券交易
US,Q2M,2020_11~2021_01,Train,PG,融券交易
US,Q2M,2020_11~2021_01,Train,CVX,融券交易
US,Q2M,2020_11~2021_01,Train,HD,融券交易
US,Q2M,2020_11~2021_01,Train,MRK,融券交易
US,Q2M,2020_11~2021_01,Train,MCD,融券交易
US,Q2M,2020_11~2021_01,Train,VZ,融券交易
US,Q2M,2020_11~2021_01,Train,HON,融券交易
US,Q2M,2020_11~2021_01,Train,IBM,融券交易
US,Q2M,2020_11~2021_01,Train,CAT,融券交易
US,Q2M,2020_11~2021_01,Train,TRV,融券交易
