country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Q2Q,2020_Q2,Train,AAPL,一般交易
US,Q2Q,2020_Q2,Train,PG,一般交易
US,Q2Q,2020_Q2,Train,HD,一般交易
US,Q2Q,2020_Q2,Train,CSCO,一般交易
US,Q2Q,2020_Q2,Train,MCD,一般交易
US,Q2Q,2020_Q2,Train,GS,一般交易
US,Q2Q,2020_Q2,Train,MMM,一般交易
US,Q2Q,2020_Q2,Train,TRV,一般交易
US,Q2Q,2020_Q2,Train,DD,一般交易
US,Q2Q,2020_Q2,Train,WMT,融券交易
US,Q2Q,2020_Q2,Train,JPM,融券交易
US,Q2Q,2020_Q2,Train,CVX,融券交易
US,Q2Q,2020_Q2,Train,MRK,融券交易
US,Q2Q,2020_Q2,Train,KO,融券交易
US,Q2Q,2020_Q2,Train,NKE,融券交易
US,Q2Q,2020_Q2,Train,DIS,融券交易
US,Q2Q,2020_Q2,Train,VZ,融券交易
US,Q2Q,2020_Q2,Train,AMGN,融券交易
US,Q2Q,2020_Q2,Train,HON,融券交易
US,Q2Q,2020_Q2,Train,IBM,融券交易
US,Q2Q,2020_Q2,Train,AXP,融券交易
US,Q2Q,2020_Q2,Train,WBA,融券交易
US,Q2Q,2020_Q2,Train,AAPL,融券交易
US,Q2Q,2020_Q2,Train,PG,融券交易
US,Q2Q,2020_Q2,Train,HD,融券交易
US,Q2Q,2020_Q2,Train,CSCO,融券交易
US,Q2Q,2020_Q2,Train,MCD,融券交易
US,Q2Q,2020_Q2,Train,GS,融券交易
US,Q2Q,2020_Q2,Train,MMM,融券交易
US,Q2Q,2020_Q2,Train,TRV,融券交易
US,Q2Q,2020_Q2,Train,DD,融券交易
US,Q2Q,2020_Q2,Train,WMT,融券交易
US,Q2Q,2020_Q2,Train,JPM,融券交易
US,Q2Q,2020_Q2,Train,CVX,融券交易
US,Q2Q,2020_Q2,Train,MRK,融券交易
US,Q2Q,2020_Q2,Train,KO,融券交易
US,Q2Q,2020_Q2,Train,NKE,融券交易
US,Q2Q,2020_Q2,Train,DIS,融券交易
US,Q2Q,2020_Q2,Train,VZ,融券交易
US,Q2Q,2020_Q2,Train,AMGN,融券交易
US,Q2Q,2020_Q2,Train,HON,融券交易
US,Q2Q,2020_Q2,Train,IBM,融券交易
US,Q2Q,2020_Q2,Train,AXP,融券交易
US,Q2Q,2020_Q2,Train,WBA,融券交易
