country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Y2M,2015_10~2016_09,Train,UNH,一般交易
US,Y2M,2015_10~2016_09,Train,V,一般交易
US,Y2M,2015_10~2016_09,Train,PG,一般交易
US,Y2M,2015_10~2016_09,Train,HD,一般交易
US,Y2M,2015_10~2016_09,Train,MRK,一般交易
US,Y2M,2015_10~2016_09,Train,INTC,一般交易
US,Y2M,2015_10~2016_09,Train,MMM,一般交易
US,Y2M,2015_10~2016_09,Train,AAPL,融券交易
US,Y2M,2015_10~2016_09,Train,WMT,融券交易
US,Y2M,2015_10~2016_09,Train,KO,融券交易
US,Y2M,2015_10~2016_09,Train,NKE,融券交易
US,Y2M,2015_10~2016_09,Train,DIS,融券交易
US,Y2M,2015_10~2016_09,Train,VZ,融券交易
US,Y2M,2015_10~2016_09,Train,AMGN,融券交易
US,Y2M,2015_10~2016_09,Train,GS,融券交易
US,Y2M,2015_10~2016_09,Train,AXP,融券交易
US,Y2M,2015_10~2016_09,Train,BA,融券交易
US,Y2M,2015_10~2016_09,Train,TRV,融券交易
US,Y2M,2015_10~2016_09,Train,WBA,融券交易
US,Y2M,2015_10~2016_09,Train,UNH,融券交易
US,Y2M,2015_10~2016_09,Train,V,融券交易
US,Y2M,2015_10~2016_09,Train,PG,融券交易
US,Y2M,2015_10~2016_09,Train,HD,融券交易
US,Y2M,2015_10~2016_09,Train,MRK,融券交易
US,Y2M,2015_10~2016_09,Train,INTC,融券交易
US,Y2M,2015_10~2016_09,Train,MMM,融券交易
US,Y2M,2015_10~2016_09,Train,AAPL,融券交易
US,Y2M,2015_10~2016_09,Train,WMT,融券交易
US,Y2M,2015_10~2016_09,Train,KO,融券交易
US,Y2M,2015_10~2016_09,Train,NKE,融券交易
US,Y2M,2015_10~2016_09,Train,DIS,融券交易
US,Y2M,2015_10~2016_09,Train,VZ,融券交易
US,Y2M,2015_10~2016_09,Train,AMGN,融券交易
US,Y2M,2015_10~2016_09,Train,GS,融券交易
US,Y2M,2015_10~2016_09,Train,AXP,融券交易
US,Y2M,2015_10~2016_09,Train,BA,融券交易
US,Y2M,2015_10~2016_09,Train,TRV,融券交易
US,Y2M,2015_10~2016_09,Train,WBA,融券交易
