country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Y2Q,2021_Q3~2022_Q2,Train,AAPL,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,MSFT,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,UNH,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,JNJ,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,PG,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,CVX,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,MRK,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,KO,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,CSCO,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,MCD,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,HON,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,GS,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,CAT,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,BA,一般交易
US,Y2Q,2021_Q3~2022_Q2,Train,WMT,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,NKE,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,DIS,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,AMGN,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,INTC,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,MMM,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,DD,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,AAPL,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,MSFT,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,UNH,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,JNJ,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,PG,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,CVX,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,MRK,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,KO,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,CSCO,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,MCD,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,HON,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,GS,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,CAT,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,BA,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,WMT,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,NKE,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,DIS,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,AMGN,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,INTC,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,MMM,融券交易
US,Y2Q,2021_Q3~2022_Q2,Train,DD,融券交易
