7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
1542.800,7401.000,2757.000,593.200,4756.000,3253.000,65000,2409.333,23925,12060,4626.000,15450,2900.000,4038.000,2534.500,4332.000,3360.000,1946.000,4966.000,2039.667,3099.000,2432.500,4003.000,1683.000,20330,1870.000,10270,4070.000,1689.000,22000
1542.800,7401.000,2757.000,593.200,4756.000,3253.000,65000,2409.333,23925,12060,4626.000,15450,2900.000,4038.000,2534.500,4332.000,3360.000,1946.000,4966.000,2039.667,3099.000,2432.500,4003.000,1683.000,20330,1870.000,10270,4070.000,1689.000,22000
1542.800,7401.000,2757.000,593.200,4756.000,3253.000,65000,2409.333,23925,12060,4626.000,15450,2900.000,4038.000,2534.500,4332.000,3360.000,1946.000,4966.000,2039.667,3099.000,2432.500,4003.000,1683.000,20330,1870.000,10270,4070.000,1689.000,22000
1513.000,7420.000,2747.000,582.100,4569.000,3243.000,63050,2346.000,23355,11850,4621.000,15105,2884.000,3979.000,2515.500,4272.000,3332.333,1953.000,4843.000,2005.000,3007.000,2378.000,3880.000,1666.000,20000,1819.000,10245,4009.000,1675.500,21505
1543.000,7655.000,2784.000,584.100,4646.000,3271.000,63250,2345.000,23515,11995,4667.000,15470,2918.500,3991.000,2547.000,4289.000,3390.000,1971.000,4906.000,2046.333,3089.000,2394.000,3969.000,1682.000,20240,1848.500,10535,4072.000,1744.000,21925
1523.400,7660.000,2755.000,574.000,4583.000,3241.000,62080,2341.000,23290,11700,4584.000,15150,2873.000,3967.000,2524.000,4250.000,3380.000,1949.000,4847.000,2011.667,3026.000,2370.000,3942.000,1668.000,19825,1827.500,10615,4009.000,1698.500,21590
1534.000,7804.000,2813.500,580.000,4797.000,3295.000,63760,2384.333,24485,12000,4638.000,15465,2902.000,4031.000,2590.000,4342.000,3460.000,1981.500,4882.000,2030.000,3066.000,2405.000,4022.000,1677.000,20195,1847.000,11035,4034.000,1737.500,21905
1532.200,7843.000,2788.500,578.200,4878.000,3288.000,61990,2392.000,24840,11960,4564.000,15505,2897.000,4024.000,2574.500,4379.000,3483.333,1971.500,4850.000,2014.000,3060.000,2415.500,4171.000,1672.000,20670,1880.000,11125,4007.000,1740.000,21920
1532.200,7843.000,2788.500,578.200,4878.000,3288.000,61990,2392.000,24840,11960,4564.000,15505,2897.000,4024.000,2574.500,4379.000,3483.333,1971.500,4850.000,2014.000,3060.000,2415.500,4171.000,1672.000,20670,1880.000,11125,4007.000,1740.000,21920
1547.800,8036.000,2792.000,579.000,5049.000,3283.000,63340,2400.000,25300,12365,4587.000,15580,2907.000,3998.000,2580.500,4408.000,3483.333,1972.500,4885.000,2049.000,3074.000,2429.000,4285.000,1666.000,20915,1895.500,11245,3990.000,1733.500,21945
1534.400,7880.000,2795.000,578.900,4979.000,3270.000,64320,2364.000,25000,12380,4518.000,15285,2879.000,3968.000,2556.500,4399.000,3466.667,1952.500,4896.000,2037.333,3043.000,2422.000,4249.000,1653.000,20725,1897.000,11085,4010.000,1773.000,21730
1537.400,7936.000,2811.500,575.500,4872.000,3254.000,65210,2466.667,25050,12370,4544.000,15555,2871.500,3940.000,2556.000,4406.000,3513.333,1951.500,4904.000,2037.000,3023.000,2417.000,4257.000,1645.000,20545,1910.500,11065,3986.000,1773.000,21850
