RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
134.670,91.840,172.670,55.010,110.830,62.770,80.340,133.000,70.160,157.550,61.710,63.860,105.570,43.170,58.780,59.810,26.390,143.950,24.350,2199.960,75.690,28.610,23.010,121.530,197.770,63.730,201.940,62.890,95.860,70.070
134.210,92.360,172.040,54.690,110.870,60.750,80.690,134.380,68.940,158.680,61.380,63.650,107.000,43.000,58.190,59.390,26.840,145.450,24.410,2147.730,75.350,28.600,22.860,122.280,195.880,63.540,204.680,62.240,95.830,69.710
133.680,91.320,172.350,54.260,109.060,60.030,77.710,133.010,67.950,158.690,61.500,64.010,106.950,42.230,57.740,58.820,26.080,143.050,24.210,2109.020,72.620,29.040,22.480,122.070,194.410,63.500,202.190,63.180,94.430,68.470
132.280,90.170,171.300,53.790,107.740,59.190,75.590,129.110,68.340,155.880,60.430,63.730,105.650,40.930,58.090,58.870,25.140,140.920,24.160,2087.450,70.660,28.640,22.470,121.050,193.670,63.260,201.370,62.520,94.520,69.310
131.890,89.270,170.370,53.600,107.810,59.110,75.030,128.540,67.970,157.030,60.890,63.650,104.100,40.660,58.050,58.960,24.960,140.360,24.170,2089.690,71.390,28.510,23.030,122.190,194.900,62.980,201.920,62.010,93.960,70.850
131.290,89.890,171.160,53.310,109.040,59.220,74.570,125.720,68.140,156.390,62.370,63.360,103.810,40.620,57.990,58.200,24.500,140.530,24.060,2065.950,70.510,28.130,22.820,124.800,194.950,62.730,203.770,61.050,93.690,70.280
130.910,90.550,170.040,53.390,107.770,58.880,74.650,126.160,68.660,156.920,61.780,63.340,104.800,40.380,57.740,58.520,24.190,139.940,24.190,2088.990,68.220,28.100,22.660,125.550,192.230,63.250,203.970,60.830,94.960,69.510
132.130,91.150,173.020,53.610,108.130,46.090,75.090,125.130,68.190,157.600,62.320,63.200,105.730,41.350,57.850,57.600,24.290,140.520,24.320,2143.910,66.320,27.990,22.770,124.240,193.300,63.400,203.070,60.990,94.800,69.820
130.160,88.650,172.560,53.970,108.260,45.890,76.540,122.890,67.640,158.000,63.040,63.120,104.480,42.160,58.590,56.450,24.920,140.730,24.420,2135.450,66.590,27.970,23.660,123.960,195.430,63.700,197.670,60.390,94.050,71.690
129.420,87.500,170.530,53.830,106.220,45.550,75.880,122.310,66.620,157.730,62.330,61.740,103.080,42.180,57.400,56.090,25.050,140.480,24.180,2147.730,65.890,27.710,23.590,123.420,194.840,63.130,197.140,61.380,93.530,71.300
128.220,86.900,168.230,53.180,104.360,45.220,74.300,120.750,65.500,155.720,61.210,60.690,102.140,41.730,56.560,55.660,24.860,137.330,23.930,2138.620,64.820,27.340,22.760,121.510,188.190,62.450,198.030,61.140,93.010,68.960
127.960,86.630,166.460,52.540,103.200,44.400,71.800,120.630,65.240,155.750,61.250,60.390,100.850,40.970,55.170,55.440,24.240,134.500,23.970,2118.260,63.860,27.030,23.140,122.140,181.380,62.500,198.100,60.910,92.400,69.950
126.760,86.610,163.620,51.760,101.620,42.850,72.590,120.090,64.480,152.600,61.310,59.670,99.490,40.600,54.310,54.350,24.360,133.310,23.910,2121.710,63.990,26.670,22.580,122.810,180.040,61.910,196.050,59.640,91.230,68.640
127.500,87.560,162.860,52.430,101.850,42.020,73.340,121.680,65.290,152.210,61.060,59.620,99.850,41.250,54.050,55.190,24.990,132.660,23.950,2117.950,63.940,26.760,23.520,122.490,181.150,62.420,197.470,60.210,92.050,70.860
128.670,88.100,165.090,53.450,103.170,42.760,74.890,123.110,65.860,152.810,61.490,59.890,100.820,42.290,54.970,55.840,25.930,133.960,24.440,2144.500,65.320,26.840,23.790,122.610,183.370,63.440,198.830,61.050,92.950,71.150
127.730,87.820,163.200,52.950,102.230,42.320,72.630,122.090,65.820,152.800,60.190,59.840,99.530,41.410,54.090,55.320,25.180,132.150,24.150,2137.130,63.780,26.680,23.580,122.230,183.620,62.940,198.570,61.270,91.400,70.620
128.280,88.330,163.690,53.690,102.590,43.120,75.870,122.690,66.380,154.020,59.730,60.020,100.640,42.810,55.350,54.720,26.240,133.370,24.290,2127.370,65.570,26.740,23.610,123.660,184.650,63.140,198.380,61.330,92.170,71.500
128.280,88.330,163.690,53.690,102.590,43.120,75.870,122.690,66.380,154.020,59.730,60.020,100.640,42.810,55.350,54.720,26.240,133.370,24.290,2127.370,65.570,26.740,23.610,123.660,184.650,63.140,198.380,61.330,92.170,71.500
128.280,88.330,163.690,53.690,102.590,43.120,75.870,122.690,66.380,154.020,59.730,60.020,100.640,42.810,55.350,54.720,26.240,133.880,24.290,2127.370,65.570,26.740,23.610,123.660,184.650,63.140,198.380,61.330,92.170,71.500
127.710,87.560,162.400,52.830,101.380,42.270,74.040,122.010,65.440,153.030,59.590,59.070,99.520,42.520,54.440,53.770,25.570,132.460,23.970,2114.480,64.930,26.140,23.420,121.870,186.150,62.810,196.760,60.410,91.020,70.820
128.660,88.540,163.040,53.210,102.140,43.400,75.420,123.450,66.630,154.740,60.600,59.720,99.330,42.510,53.700,54.960,26.130,133.510,24.310,2134.790,65.690,26.410,23.340,120.220,185.100,63.360,197.750,60.980,91.700,70.610
127.300,87.670,160.840,52.920,100.950,42.580,75.190,122.660,66.340,154.460,59.500,59.490,98.850,42.950,53.980,54.770,26.270,133.510,24.150,2113.960,65.950,26.130,23.210,119.720,184.570,62.850,194.910,63.370,91.230,70.360
