7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
950.000,1390.000,1058.750,523.000,1695.000,1166.667,25380,555.333,4200,5680,2605.000,3520,1830.000,3770.000,1084.000,4890.000,677.333,1376.000,3845.000,877.667,3465.000,3050.000,2761.000,2040.000,14280,1014.000,4250,2843.000,516.500,9180
949.000,1438.000,1067.500,531.000,1747.500,1158.333,25370,561.000,4115,5660,2560.000,3475,1800.000,3835.000,1075.000,4935.000,692.333,1353.000,3905.000,894.667,3475.000,3115.000,2795.000,2060.000,14000,1026.000,4270,2933.000,507.250,9420
947.000,1425.000,1075.000,527.000,1750.000,1158.333,26770,566.000,4155,5560,2580.000,3480,1806.000,3815.000,1089.000,4920.000,690.333,1349.000,3925.000,880.667,3475.000,3075.000,2799.000,2050.000,14000,1020.000,4160,2915.000,508.750,9320
966.000,1462.000,1087.500,535.000,1870.000,1193.333,28940,576.333,4255,5650,2680.000,3515,1820.000,3850.000,1112.000,4945.000,725.667,1362.000,3990.000,911.333,3545.000,3095.000,2956.000,2050.000,13980,1034.000,4180,2965.000,523.500,9680
967.000,1451.000,1080.000,527.000,1830.000,1203.333,28690,583.000,4295,5720,2690.000,3560,1825.000,3755.000,1141.000,5000.000,734.667,1369.000,4030.000,906.667,3565.000,3130.000,2920.000,2030.000,14040,1044.000,4140,3090.000,552.500,9630
982.000,1464.000,1066.250,535.000,1887.500,1210.000,31500,590.667,4410,5760,2715.000,3755,1827.000,3880.000,1186.000,5080.000,741.667,1375.000,4145.000,922.667,3660.000,3125.000,2938.000,2050.000,14380,1042.000,4180,3270.000,576.000,9650
1000.000,1508.000,1076.250,569.000,1872.500,1223.333,30900,595.333,4285,5840,2780.000,3810,1864.000,4140.000,1224.000,5140.000,729.333,1419.000,4100.000,955.000,3755.000,3010.000,2976.000,2150.000,14410,1044.000,4210,3250.000,592.750,9940
992.000,1478.000,1067.500,566.000,1897.500,1220.000,30200,598.667,4385,5870,2760.000,3820,1887.000,4100.000,1226.000,5130.000,737.000,1420.000,4020.000,950.000,3730.000,2990.000,2963.000,2130.000,14360,1036.000,4190,3240.000,589.000,9870
982.000,1500.000,1048.750,575.000,1890.000,1210.000,29550,597.667,4360,5930,2745.000,3785,1867.000,4080.000,1196.000,5060.000,729.667,1415.000,4080.000,952.000,3740.000,3205.000,2896.000,2120.000,14000,1026.000,4180,3185.000,572.250,9710
990.000,1503.000,1045.000,580.000,1890.000,1205.000,30300,604.000,4420,6130,2750.000,3940,1848.000,4095.000,1189.000,5150.000,744.333,1395.000,4110.000,951.000,3725.000,3130.000,2881.000,2140.000,14120,1036.000,4150,3235.000,578.000,9700
