RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
122.850,83.270,153.910,48.300,109.320,47.190,88.330,117.100,65.480,175.290,72.390,56.400,87.840,49.510,46.450,54.160,27.410,189.410,25.340,2847.350,78.810,23.810,21.950,118.570,195.210,66.680,193.990,55.840,94.880,65.460
122.850,83.270,153.910,48.300,109.320,47.190,88.330,117.100,65.480,175.290,72.390,56.400,87.840,49.510,46.450,54.160,27.410,189.410,25.340,2847.350,78.810,23.810,21.950,118.570,195.210,66.680,193.990,55.840,94.880,65.460
122.020,82.730,151.910,48.160,108.260,46.150,89.120,116.320,64.510,174.160,71.930,56.000,87.500,49.570,46.840,54.130,27.540,189.710,25.300,2830.210,78.790,23.470,21.720,119.140,192.520,66.540,194.060,54.990,94.240,64.470
121.240,81.750,149.290,45.310,106.630,45.770,89.210,115.180,64.320,173.100,71.560,55.420,86.360,48.500,46.980,53.780,27.740,187.660,25.230,2792.300,79.160,23.240,21.600,119.080,192.320,67.270,193.450,54.480,92.380,64.180
120.300,80.780,147.340,45.470,105.680,45.980,89.380,114.580,63.800,175.690,70.150,55.290,85.440,48.570,46.760,53.510,27.860,189.970,25.300,2803.170,78.710,22.920,21.620,117.190,192.200,66.020,193.260,53.890,91.330,64.500
120.100,80.630,147.150,45.770,104.220,46.610,88.590,114.190,63.470,175.410,71.500,55.280,85.740,49.050,46.840,53.190,27.890,188.010,25.150,2761.970,79.010,22.840,21.550,118.130,189.960,65.550,193.250,53.250,92.510,64.620
120.400,81.880,148.340,45.790,105.260,47.330,86.060,115.600,63.920,175.150,72.100,55.620,85.290,48.930,45.820,53.860,27.310,189.000,25.520,2800.570,78.190,22.920,21.820,118.580,191.760,66.520,194.290,53.830,93.370,65.240
121.220,82.130,148.270,46.290,105.270,46.870,87.770,116.190,64.110,173.630,72.140,55.780,85.380,49.320,46.980,54.100,27.950,189.980,25.580,2789.660,79.360,23.040,21.780,118.080,192.030,66.770,192.240,54.520,94.300,64.990
121.960,82.770,150.860,46.490,105.700,47.730,87.150,117.630,64.810,174.650,73.010,55.890,85.330,49.400,46.620,54.560,27.770,192.340,25.530,2786.730,78.710,22.840,21.830,117.590,190.750,66.890,195.070,55.670,93.880,64.160
123.460,83.930,156.160,47.720,107.990,48.780,87.420,119.050,65.180,176.040,73.810,55.400,87.030,50.650,46.960,55.020,28.150,192.150,26.000,2871.250,80.780,23.380,22.060,117.680,191.980,68.060,198.700,55.980,93.930,65.010
124.120,84.100,157.480,47.600,108.520,48.780,87.140,120.380,65.540,175.670,73.390,55.150,86.600,50.680,47.460,55.560,28.070,191.850,26.210,2879.960,80.030,23.270,22.510,115.370,194.560,68.430,199.890,56.280,94.250,66.410
123.350,83.850,156.170,47.250,106.810,48.460,87.200,119.300,65.380,175.780,72.740,55.040,84.520,50.270,47.060,55.220,27.870,190.860,26.120,2844.050,79.270,23.180,22.520,115.570,194.360,68.100,199.830,56.510,95.040,67.150
122.360,82.940,152.720,46.980,105.320,47.250,85.940,117.870,64.830,172.460,71.420,54.550,84.530,50.030,46.820,54.990,27.670,189.840,26.350,2784.730,78.630,22.870,21.950,113.530,192.500,67.860,199.350,55.770,94.650,66.210
122.770,83.030,152.580,47.110,105.630,47.090,84.600,118.330,64.520,172.850,71.390,54.630,84.800,50.130,46.450,55.150,27.140,190.910,26.160,2787.980,78.260,22.980,22.130,113.680,193.550,67.880,200.700,56.320,94.710,67.680
120.840,81.840,148.580,46.270,102.980,44.570,83.130,116.580,63.430,168.980,70.630,53.560,83.910,48.750,46.110,54.450,26.570,186.910,25.550,2715.780,77.840,22.650,21.610,113.120,189.280,66.970,198.370,54.560,92.960,66.200
120.190,81.760,148.520,46.540,103.110,44.250,83.130,115.600,63.330,169.250,70.730,53.740,83.590,49.060,45.670,54.040,26.640,185.510,25.540,2705.000,78.770,22.900,21.300,113.050,189.720,67.090,199.810,54.850,91.730,66.170
120.420,82.420,150.100,46.370,103.450,44.090,85.100,115.710,62.570,169.450,70.380,53.100,83.930,49.060,46.060,54.040,27.190,185.920,25.340,2716.700,81.150,22.720,20.940,112.120,185.830,66.830,198.820,54.120,91.190,65.400
118.860,81.380,149.480,45.550,100.700,43.130,87.110,114.610,62.020,167.300,69.950,52.080,84.230,48.230,46.180,53.790,27.510,184.200,25.030,2723.350,81.630,22.430,20.550,113.900,180.880,66.310,197.720,53.030,89.590,63.550
117.300,81.230,146.740,45.410,99.850,42.490,89.100,113.280,61.550,166.710,70.270,51.510,84.400,48.740,47.440,52.010,28.330,183.540,24.630,2748.300,84.340,22.070,19.780,113.200,178.050,65.420,195.370,52.080,88.770,61.030
118.760,81.960,147.960,45.270,100.740,43.280,89.260,114.680,62.000,166.760,71.320,51.560,84.910,46.710,47.520,52.740,28.460,184.050,24.940,2794.160,83.980,22.130,19.660,115.280,180.510,66.060,198.210,52.220,90.880,61.520
118.700,81.830,147.090,45.050,100.960,42.470,87.840,114.580,60.880,166.160,68.980,51.850,83.880,46.710,46.710,52.430,28.280,182.370,24.820,2804.070,83.660,22.180,19.730,115.400,181.330,66.270,198.020,52.150,90.230,61.720
