RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
115.950,80.410,145.460,43.760,99.670,41.210,86.290,111.640,59.560,166.290,70.140,50.130,81.860,45.750,45.800,51.460,27.480,181.160,24.460,2787.260,81.900,21.370,19.430,116.120,177.980,65.390,196.000,50.620,88.720,59.860
113.140,79.650,145.440,43.280,100.720,41.290,86.730,109.840,58.150,165.990,71.050,49.880,78.400,46.000,45.980,50.360,27.440,182.400,24.190,2801.240,81.780,21.500,19.460,117.190,178.570,64.390,195.670,50.810,87.490,60.660
114.190,79.440,146.270,43.120,100.410,41.650,82.700,110.250,59.120,168.480,71.660,50.160,79.910,45.230,43.780,50.940,26.330,183.650,24.310,2825.000,78.610,22.190,19.510,117.580,176.550,64.850,197.980,51.260,87.500,59.620
115.070,79.390,146.200,43.520,99.730,41.110,82.900,110.810,59.690,169.950,72.020,51.230,80.480,45.890,43.830,51.160,26.270,185.650,24.620,2849.990,77.770,22.620,19.710,117.050,179.110,65.490,199.230,52.030,88.310,60.810
114.900,79.800,146.350,43.470,99.540,41.750,83.960,110.770,59.410,170.860,71.870,51.020,80.250,45.730,44.030,51.090,26.500,185.830,24.900,2877.150,78.340,22.550,19.950,116.460,180.680,66.150,199.090,51.990,88.690,61.630
114.900,79.800,146.350,43.470,99.540,41.750,83.960,110.770,59.410,170.860,71.870,51.020,80.250,45.730,44.030,51.090,26.500,185.830,24.900,2877.150,78.340,22.550,19.950,116.460,180.680,66.150,199.090,51.990,88.690,61.630
115.510,80.520,147.660,44.020,98.950,43.740,88.540,111.200,60.150,172.140,72.640,51.610,84.130,46.920,46.060,51.670,27.600,187.350,25.110,2848.090,81.940,22.670,20.290,115.730,182.240,66.210,197.880,53.220,88.420,63.480
116.380,81.420,148.390,44.610,99.740,45.320,88.570,112.100,60.530,173.570,74.340,52.220,82.580,47.670,45.880,51.890,27.850,187.660,25.520,2870.460,81.950,22.920,20.690,116.110,186.050,67.600,200.700,54.250,89.460,64.640
115.550,80.860,147.500,44.550,99.070,44.480,89.480,111.300,59.900,173.030,74.680,51.820,81.970,47.610,46.390,51.520,28.090,187.660,25.270,2846.070,83.120,22.840,20.710,116.410,184.050,67.030,199.730,53.070,88.470,63.980
114.540,80.350,147.150,44.700,98.180,43.920,91.190,110.010,59.340,172.810,74.400,51.660,82.520,47.900,46.740,51.020,28.810,189.030,25.060,2827.770,82.990,22.820,21.500,113.800,189.660,66.700,199.950,52.780,87.740,66.370
116.200,81.240,148.900,45.140,99.100,44.660,91.780,111.720,60.090,173.110,74.010,52.530,83.530,48.120,46.690,51.840,28.590,188.800,25.220,2846.380,83.080,23.010,21.530,114.970,189.710,66.960,199.730,53.620,88.780,65.610
115.530,81.720,148.580,44.430,98.680,45.100,91.490,112.000,59.950,172.480,74.500,52.360,85.000,47.890,46.880,52.130,28.790,189.860,25.320,2843.520,83.330,22.870,22.390,114.750,192.220,66.940,200.460,53.020,88.430,67.290
113.650,80.380,144.510,44.110,97.260,43.940,91.680,109.440,58.650,170.290,73.930,51.320,84.090,47.410,47.330,50.930,29.050,188.710,24.860,2830.000,83.640,22.510,22.660,113.000,191.740,65.990,199.360,51.940,86.850,67.560
113.030,79.920,144.120,44.020,97.780,42.800,91.150,108.440,58.230,168.010,73.800,51.510,83.480,47.350,47.290,50.320,29.030,186.560,24.430,2857.610,83.580,22.450,22.740,111.870,189.350,64.120,198.440,52.010,88.550,68.070
111.010,78.710,145.930,43.630,97.600,42.130,89.770,106.270,56.680,166.920,73.490,50.680,81.480,46.510,46.500,48.640,28.320,187.110,23.880,2835.650,82.030,22.120,23.170,111.520,190.470,63.090,194.710,50.520,85.150,68.310
111.330,78.550,144.730,43.980,96.580,42.100,88.570,106.070,56.660,168.640,73.290,51.170,77.750,46.590,45.880,48.760,27.660,185.610,23.970,2816.040,80.390,22.070,22.670,111.760,190.640,63.000,194.570,50.870,85.070,67.630
110.380,76.830,144.990,44.140,95.340,42.460,87.410,104.980,56.190,168.640,72.930,51.550,77.850,46.730,45.150,48.220,27.010,184.540,23.900,2812.360,79.430,22.360,22.730,110.960,189.920,62.640,193.000,51.930,84.970,67.890
109.110,76.920,146.570,44.530,96.200,41.110,88.680,104.770,55.970,167.910,73.810,51.220,77.330,47.390,45.800,48.190,27.330,189.490,23.880,2781.310,80.850,22.280,22.870,111.540,189.640,62.740,193.960,52.000,85.240,67.370
110.210,77.410,144.650,44.260,96.480,41.340,88.740,106.060,56.120,165.980,73.750,51.350,77.670,47.340,45.170,48.440,27.070,176.940,24.080,2714.140,81.300,22.320,22.530,111.310,185.160,62.790,192.140,51.800,85.910,65.550
108.470,76.160,145.050,43.570,96.500,40.430,88.000,102.940,55.410,163.510,72.860,50.830,76.960,46.950,45.060,48.150,26.800,177.600,23.790,2671.940,79.740,22.010,22.670,110.610,190.660,62.040,189.340,51.010,85.610,67.630
110.120,77.190,146.540,44.040,98.200,40.270,88.100,104.530,56.170,166.520,74.920,51.550,77.470,47.340,44.870,48.780,26.450,179.420,24.170,2753.420,79.900,22.360,22.250,113.300,174.470,62.890,193.500,51.380,87.330,65.810
110.760,77.460,146.730,44.440,98.460,40.400,88.060,104.790,56.150,166.110,75.490,51.480,74.480,47.760,44.910,48.910,26.420,179.560,24.140,2780.010,79.030,22.360,22.150,113.420,168.700,63.340,194.840,51.380,86.220,65.040
