RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
61.270,41.920,50.130,47.610,25.800,16.327,32.360,63.940,58.950,36.271,9.223,47.300,100.725,30.830,49.290,39.885,31.720,23.773,14.740,125.000,41.450,17.445,29.480,42.330,45.690,27.360,63.220,51.180,37.220,41.210
62.220,42.225,50.240,47.790,25.268,16.482,32.600,64.350,59.090,36.171,9.417,47.130,99.775,31.200,49.650,40.275,31.900,23.767,15.060,126.900,41.380,17.527,28.710,43.240,44.860,28.040,63.500,51.490,37.200,39.430
61.340,41.715,49.295,46.660,24.502,16.292,31.480,63.520,58.080,35.621,9.167,46.600,100.125,30.170,48.790,40.070,30.900,23.687,14.580,126.550,40.620,17.328,27.090,42.010,43.240,27.300,63.590,50.790,37.215,37.300
60.390,41.000,48.990,46.400,24.334,16.376,30.920,62.660,57.740,35.466,9.343,46.640,100.325,29.280,48.430,39.770,29.990,23.480,14.310,127.000,40.290,17.350,27.360,41.810,44.080,26.820,62.680,50.860,37.210,38.120
59.620,40.455,49.175,45.300,24.564,16.438,31.030,62.110,56.900,35.610,9.160,46.200,100.125,29.260,47.920,39.455,30.350,23.253,14.100,127.050,40.150,17.220,27.130,41.400,44.020,26.520,62.840,50.880,37.000,38.700
59.440,40.355,49.200,45.600,24.994,16.694,31.180,62.330,57.030,35.951,9.153,46.430,100.775,28.940,48.330,39.085,29.920,23.433,14.120,129.810,40.200,17.250,26.760,41.510,43.350,27.160,62.820,51.690,36.820,38.430
60.180,40.565,49.055,46.190,24.572,16.720,32.040,62.690,57.370,36.083,9.238,46.500,101.025,29.840,49.080,39.125,30.800,23.587,14.260,130.650,40.420,17.250,27.160,41.730,44.180,27.330,63.300,51.730,37.085,40.070
61.380,41.010,49.510,46.270,24.844,16.945,32.380,63.390,58.390,36.579,9.353,47.010,100.975,30.120,49.150,39.420,31.520,24.000,14.650,134.970,40.530,17.440,24.810,42.050,42.280,27.840,63.740,52.350,37.565,39.230
61.290,40.930,49.385,46.290,24.962,17.038,32.490,63.120,57.900,36.546,9.353,46.960,100.650,29.680,48.770,39.175,30.940,24.273,14.420,135.050,40.300,17.413,25.000,42.080,41.330,27.630,63.820,52.020,37.465,39.200
61.600,40.725,49.555,46.230,25.122,16.976,31.280,63.210,57.710,36.425,9.515,46.860,99.875,28.820,48.510,39.080,30.430,24.567,14.330,133.780,40.090,17.550,22.940,41.490,40.440,27.640,62.780,51.740,37.240,36.120
