AAPL,MSFT,AMZN,GOOG,BRK.B,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
83.74,26.43,250.33,347.62,87.75,6.29,40.81,69.65,37.16,87.61,71.34,9.8,69.58,19.54,19.03,48.67,44.1,53.89,131890,347.63,
82.26,26.37,252.49,345.51,87.27,6.31,40.57,69.86,36.9,87.19,72.12,9.91,69.31,19.97,19.17,48.34,43.67,53.54,130890,345.52,
76.97,26.67,253.96,343.91,87.62,6.45,41.2,69.97,37.02,87.73,71.65,10.46,69.41,19.85,19.21,47.8,44.1,53.84,131444,343.91,
78.18,26.73,253.37,345.56,87.49,6.52,41.47,70.05,37.12,88,71.59,10.46,69.95,20.16,19.48,48.09,44.45,53.65,131240,345.57,
76.18,26.46,253.27,342.1,87.33,6.48,42.56,70.45,37.14,88.6,72.29,10.64,70.29,20.16,19.34,47.61,44.41,53.87,131090,342.11,
75.69,26.94,247.77,342.7,87.1,6.52,42.31,70.6,37.17,88.41,72.15,10.57,70.22,20.08,19.79,47.96,44.03,54.19,130788,342.71,
77.34,27.32,250.69,348.44,87.27,6.53,42.64,71.1,37.23,88.99,70.89,10.51,70.66,20.65,19.78,48.15,44.44,54.76,130831,348.44,
77,27.24,251.76,348.78,89.32,6.51,42.77,70.96,36.97,89.45,68.94,10.61,70.76,20.67,19.73,48.34,44.79,55.25,134000,348.78,
75.67,27.11,251.25,351.35,89.44,6.48,42.78,70.75,36.8,88.58,69.04,10.54,70.13,20.49,19.74,48.44,44.52,54.38,134200,351.35,
72.83,26.81,249.19,350.98,89.15,6.47,42.81,70.69,36.71,88.08,68.75,10.58,69.93,20.53,19.86,48.23,44.21,54.05,133795,350.98,
74.12,27.1,253.86,360.39,89.98,6.46,43.48,70.94,37.28,88.87,69.2,11,69.93,20.57,20.11,48.93,44.12,54.36,134850,360.39,
76.27,27.56,260.4,360.53,90.37,6.48,43.87,70.95,37.68,89.56,69.5,11.36,69.97,20.96,20.38,49.29,43.87,54.95,135700,360.54,
75.19,27.31,257.99,360.05,90.1,6.42,43.53,70.63,37.29,88.44,68.52,11.19,69.34,21.1,20.27,48.94,43.38,54.49,135200,360.06,
74.53,27.68,261.5,361.18,90.69,6.44,44.53,70.75,38.12,88.89,69,11.52,69.82,21.03,20.24,49.85,43.81,55.46,135936,361.18,
74.19,27.45,256.92,357.81,89.83,6.41,44,70.27,37.69,87.23,68.65,11.29,68.72,20.77,19.96,49.36,43.57,55.03,134800,357.82,
74.31,27.06,258.62,354.75,89.83,6.37,43.92,70.02,37.8,86.92,68.57,11.25,68.52,20.64,19.83,49.5,43.54,54.85,134660.02,354.75,
73.29,26.86,248.63,354.43,89.26,6.4,43.96,70.17,37.44,87.07,67.99,11.54,68,20.65,19.92,48.62,43.45,54.22,133927,354.44,
73.58,26.96,248.31,353.14,89.22,6.37,43.63,70.09,37.35,86.86,68.19,11.47,67.97,20.51,19.65,48.79,43.48,54.44,133900,353.14,
72.8,26.55,245.18,350,88.55,6.41,43.24,69.48,37.16,85.1,67.61,11.36,67.15,20.23,19.45,48.31,42.9,53.86,133000,350.01,
76.02,26.71,250.87,353.69,89.7,6.53,43.97,70.1,37.9,86.55,68.23,11.61,67.89,20.62,19.65,49.13,43.27,54.24,134060,353.69,
