AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
109.4,47.44,305.72,553.7,140.81,73.88,15.82,60.88,107.46,60.39,95.26,76.28,17.27,87.38,34.31,24.58,84.13,50.39,94.86,211100,563.77,
108.6,47.57,302.81,552.59,142.18,75.76,15.83,60.25,108.62,60.74,94.52,77.26,17.21,88.64,34.54,24.88,83.99,50.33,94.98,213000,564.19,
108.86,47.86,296.52,544.43,142.92,74.83,16.01,61.15,108.82,62.38,95.07,77.7,17.34,89,33.76,25.15,85.99,50.34,95.8,214155,555.95,
108.7,48.7,296.64,540.56,143.29,75.26,16.03,61.23,109.01,62.52,96.26,77.81,17.36,88.9,33.82,25.26,85.75,50.28,96.21,214800,551.69,
109.01,48.68,299.86,539.53,143.61,75.6,15.81,61.47,108.2,63.11,96.59,78.77,17.36,89.13,33.58,25.33,84.8,50.86,93.61,214970,551.82,
108.83,48.89,305.11,545.99,145.05,75,16.2,61.93,108.82,62.55,96.28,79.44,17.37,89.45,33.26,25.15,84.85,50.72,94.75,217500,558.23,
109.7,48.87,312.01,548.78,144.95,74.61,16.45,61.37,108.91,62.43,96.41,79.01,17.32,89.67,33.31,25.15,84.59,50.61,95.69,217352.71,561.29,
111.25,48.78,311.51,545.81,145.52,74.72,16.14,60.56,108.75,62.99,95.38,79.2,17.29,89.48,33.38,25.11,84.35,50.82,95.68,218101,558.25,
112.82,49.61,316.48,543.89,146.29,74.25,16.63,60.23,109.07,62.73,94.66,82.94,17.22,88.6,33.68,25.68,84.2,51.2,95.9,219300,556.44,
114.18,49.58,327.82,542.91,145.52,74.88,17.32,60.28,108.16,62.21,95.09,82.96,17.14,88.11,33.95,26.32,84.05,51.5,95.11,218023,555.19,
113.99,49.46,323.05,535.04,145.37,74.24,16.72,60.38,108.3,62.45,95.11,83.57,17.09,87.84,34.24,26.47,83.2,51.4,96.47,218540,546.64,
115.47,48.74,324.93,533.57,145.81,74.34,16.26,60.53,108.83,62.43,94.87,83.79,17.14,87.95,34.71,26.6,83.9,51.22,98.19,218868,544.51,
114.67,48.22,326.54,535.52,145.65,73.33,15.98,60.6,108.76,62.47,95.61,84.99,17.06,88.73,34.35,26.59,84.28,50.49,96.86,218544.9,547.2,
116.31,48.7,330.54,533.37,145.72,73.6,16.13,60.12,108.18,62.92,95.82,84.58,17,88.47,35.95,26.81,84.6,50.19,96.85,218250,543.76,
116.47,47.98,332.63,536.03,146.7,73.75,16.35,60.45,107.86,63.56,96.81,84.65,17.12,88.6,35.59,26.88,84.72,50.21,96.71,219935,545.89,
118.63,47.59,335.64,537.79,147.27,74.01,16.15,60.96,106.88,63.66,95.72,85.4,17.18,88.11,36.25,27.03,84.99,49.5,96.9,221052.83,547.48,
117.6,47.47,335.04,539.6,147.81,75.63,16.06,60.3,106.7,64.32,94.78,84.95,17.1,88.8,36.32,27.28,86.34,49.34,97.9,221725,549.23,
119,47.75,333.57,538.89,148.19,77.62,16.25,60.34,107.21,64.32,94.48,84.98,17.11,88.88,36.9,27.43,86.56,50.04,98.11,222411,547.73,
118.93,47.81,338.64,540.35,148.69,77.7,15.99,60.16,108.25,64.55,90.54,87.54,17.04,90.43,37.25,27.64,87.29,50.59,98.63,223065,549.08,
