AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
105.35,54.8,636.99,741.84,130.75,102.22,76.69,19.13,63.62,100.48,75.7,77.46,61.46,16.43,78.37,33.99,26.41,94.81,45.87,116.46,196295,759.44,
102.71,55.05,633.79,742.58,131.25,102.73,78.63,19.08,63.73,100.9,76.27,78.12,62.92,16.43,78.62,33.83,26.29,94.99,46.5,116.68,196999.99,761.53,
100.7,54.05,632.65,743.62,131.33,102.97,77.33,18.66,62.81,100.39,75.27,77.47,63.55,16.08,77.86,33.08,26.01,93.35,45.52,115.49,197415,759.33,
96.45,52.17,607.94,726.39,129.48,97.92,72.72,17.91,60.27,99.22,73.79,76.23,65.03,15.5,77.18,31.84,25.41,91.64,45.27,112.09,195580,741,
96.96,52.33,607.05,714.47,128.33,97.33,70.8,17.97,58.92,98.16,72.88,74.69,63.54,15.2,75.97,31.51,24.78,89.89,44.83,110.16,193900,730.91,
98.53,52.3,617.74,716.03,128.36,97.51,69.92,17.71,58.83,97.57,73.92,73.69,64.22,15.31,76.67,32.06,25.27,90.58,45.09,109.58,193060.01,733.07,
99.96,52.78,617.89,726.07,128.8,99.37,72.68,17.75,58.96,98.24,74.76,75.2,63.62,15.31,76.51,32.68,25.35,91.44,44.93,112.26,193999.99,745.34,
97.39,51.64,581.81,700.56,126.25,95.44,70.29,17.24,57.34,97.02,73.1,75.65,61.92,14.9,75.85,31.91,24.6,89.19,44.15,109.23,190499.5,719.57,
99.52,53.11,593,714.72,128.07,98.37,72.25,17.59,58.2,98.89,73.8,79.12,63.06,14.99,76.15,32.74,24.66,90.71,44.87,110.76,192250,731.39,
97.13,50.99,570.18,694.45,126.14,94.97,69.59,17.09,57.04,97,71.83,77.58,61.93,14.46,74.98,29.76,23.62,88.71,44.43,109.27,190000,710.49,
96.66,50.56,574.48,701.79,127.76,95.26,70.13,17.71,57.01,97.5,71.39,76.4,62.56,14.24,76.73,29.8,23.85,86.22,44.87,112.58,191700,719.08,
96.79,50.79,571.77,698.45,124.83,94.35,68.71,17.2,55.51,95.75,70.68,73.18,60.84,13.69,75.83,29.59,22.9,85.13,44.42,114.79,188470,718.56,
96.3,50.48,575.02,706.59,125.62,94.16,70.72,17.32,55.25,95.94,71.56,74.1,61.88,13.36,76.72,29.66,22.9,86.12,45.87,113.5,189455,726.67,
101.42,52.29,596.38,725.25,127.04,97.94,70.37,18.12,56.95,96.75,72.7,76.57,62.69,13.56,77.36,29.93,23.37,88,47.04,114.33,191395.99,745.46,
99.44,51.79,596.53,711.67,124.13,97.01,69.72,18.3,55.66,96.4,71.74,73.98,63.45,12.96,76.85,29.6,23.17,86.77,47.03,113.38,187001,733.62,
99.99,52.17,601.25,713.04,125.89,97.34,69.77,18.54,57.08,101.18,71.88,76.7,64,13.31,78.81,29.94,23.72,87,48.25,113.96,189640,733.79,
93.42,51.22,583.35,699.99,125.19,94.45,69.54,18.02,57.04,102.16,70.91,75.29,63.95,13.36,78.8,29.81,23.43,84.81,49.03,112.33,189091,717.58,
94.09,52.06,635.35,730.96,126.01,109.11,66.92,18.28,57.28,102.27,69.33,76.99,64.22,13.53,79.82,29.97,23.11,83.43,49.01,111.38,188300,748.3,
97.34,55.09,587,742.95,129.77,112.21,67.03,18.74,59.5,104.44,74.49,77.85,66.36,14.14,81.69,31.02,23.79,89.03,49.97,115.16,194360.05,761.35,
