AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL
93.64,50.61,683.85,698.21,146.89,118.57,76.61,20.36,63.79,112.75,78.46,89.13,67.59,14.77,80.97,30.61,27.37,97.77,51.32,132.1,220252.5,714.41
95.18,49.78,671.32,692.36,144.83,117.43,75.91,19.74,62.56,112.69,77.19,88.11,67,14.36,81.1,30.36,26.86,96.45,50.68,132.46,217354,708.44
94.19,49.87,670.9,695.7,144.24,118.06,75.82,19.59,62.56,112.22,77.19,87.94,67.19,14.13,81.6,29.85,26.44,96.25,50.84,132.03,216515,711.37
93.24,49.94,659.09,701.43,143.88,117.81,78.83,19.61,61.24,112.88,77.36,88.04,67.21,14.05,81.3,29.9,26.21,96.19,50.84,132.31,215880,714.71
92.72,50.39,673.95,711.12,144.62,119.49,79.2,19.87,61.6,112.74,77.72,88.51,68.25,14.11,82.13,30.04,26.53,96.68,51.12,132.04,216999.99,725.18
92.79,50.07,679.75,712.9,142.91,119.24,79.41,19.75,61.21,113.72,78.22,88.57,68.95,13.99,82.12,29.8,26.51,96.72,51.08,132.67,214430,729.13
93.42,51.02,703.07,723.18,144.78,120.5,79.72,20.12,62.04,114.67,79.2,89.99,68.79,14.3,82.48,30.14,27.03,97.64,51.54,133.57,216975,739.38
92.51,51.05,713.23,715.29,142.87,119.52,79.8,20.08,61.81,114.37,77.3,88.81,66.41,14.2,82.15,30.06,26.7,96.41,51.15,130.69,214468,730.55
90.34,51.51,717.93,713.31,143.31,120.28,79.16,19.81,61.77,114.23,77.89,89.67,66.85,14.14,82.41,29.76,26.67,95.85,51.47,129.74,214860,728.07
90.52,51.08,709.92,710.83,141.4,119.81,77.16,19.81,61.2,113.56,76.83,88.66,64.94,13.88,81.23,29.91,26.53,95.36,50.94,129,212140,724.83
93.88,51.83,710.66,716.49,141.85,118.67,79.29,20.67,61.66,114.44,77.8,89.57,66.02,13.93,81.63,30.39,26.97,96.15,51.23,130.64,212530,730.3
93.49,50.51,695.27,706.23,140.34,117.35,79.35,20.8,61.66,113.83,76.79,89.53,65.1,14.01,80.62,29.98,26.65,95.6,50.9,129.56,210695,720.19
94.56,50.81,697.45,706.63,141.47,117.65,79.03,20.25,64.04,113.59,77.43,89.35,63.15,14.69,79.85,29.99,26.72,95.63,50.39,130.51,212200,721.78
94.2,50.32,698.52,700.32,140.79,116.81,78.32,20,63.39,112.85,76.88,90.11,69.2,14.53,80.19,29.63,27.57,94.7,49.63,130,211179.99,715.31
95.22,50.62,702.8,709.74,141.83,117.35,78.79,20.42,63.51,112.64,77.67,89.74,69.86,14.52,80.02,30.15,27.97,95.47,49.66,130.94,212833,721.71
96.43,50.03,696.75,704.24,141.48,115.97,79,20.5,63.46,112.16,77.21,89.6,69.5,14.47,80.2,30.23,27.94,95.08,49.14,130.42,212210,717.25
97.9,51.59,704.2,720.09,143.71,117.7,81.12,20.98,64.54,112.69,79.38,89.67,70.24,14.68,80.97,31.06,28.47,96.48,49.58,132.59,215650,733.03
99.62,52.12,708.35,725.27,144.08,117.89,75.59,21.25,65.52,113.35,79.06,90.26,70.48,14.92,81.48,31.39,28.92,96.45,49.85,133.42,216185,738.1
100.41,51.89,714.91,724.12,143.05,119.47,78.35,21.13,65.03,112.9,79,89.8,70.85,14.7,81.22,31.49,28.9,96.38,50.16,132.98,214600,736.93
100.35,52.32,712.24,732.66,143.35,119.38,80.97,22,65.43,113.06,79.66,90.01,70.75,14.88,81.43,31.57,28.92,97.18,50.62,134,214303,747.6
99.86,53,722.79,735.72,140.54,118.81,82,22.3,65.27,112.69,78.94,89.02,70.78,14.79,81.04,31.59,29.05,95.9,50.9,133.67,211695,748.85
