AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
145.310,246.270,475.220,152.570,218.360,140.150,142.550,137.660,162.050,290.790,106.650,58.860,48.340,262.720,118.580,98.540,38.300,236.190,192.880,128.190,167.350,346.230,248.670,25.330,175.910,204.550,110.210,184.050,73.670,35.200
145.910,251.110,477.700,152.450,219.060,140.500,141.070,139.930,162.560,293.020,107.010,59.720,48.530,267.570,119.580,98.920,38.410,234.740,194.450,128.930,186.590,349.100,252.180,26.200,175.340,210.060,109.900,183.190,74.910,35.380
151.030,255.290,478.560,154.020,223.770,140.670,143.660,140.950,164.960,298.450,106.880,59.440,49.280,269.070,120.940,101.140,38.260,234.810,196.820,129.640,186.430,357.090,255.310,26.400,179.090,215.110,111.260,183.590,74.650,36.090
153.830,256.870,480.780,155.560,226.750,140.650,142.820,140.350,166.170,298.210,111.100,60.360,49.420,270.640,120.170,100.660,38.150,235.110,197.040,130.190,183.800,357.050,253.980,25.990,179.060,211.920,109.930,183.350,72.800,35.450
151.600,254.150,473.880,154.090,223.170,139.250,138.620,137.560,164.030,290.700,111.270,60.010,48.910,267.130,119.590,99.060,37.910,228.720,195.620,128.250,183.320,346.080,246.140,25.530,175.320,207.920,107.090,180.370,71.130,34.140
152.870,253.700,470.600,152.960,222.190,138.100,137.800,137.580,162.990,291.490,108.280,60.040,49.110,265.330,119.860,99.300,37.530,228.430,195.570,128.050,182.950,349.290,248.720,25.980,174.830,207.200,107.160,177.770,72.100,34.480
150.590,252.320,464.910,151.240,220.010,137.170,130.340,136.570,160.510,288.000,107.600,59.460,48.810,261.630,117.870,96.140,36.550,225.790,192.880,126.160,178.720,342.090,240.960,26.440,172.120,201.240,105.520,173.920,70.820,33.290
148.500,248.590,460.330,151.610,216.140,136.970,133.650,137.190,159.670,286.310,107.690,59.210,48.560,262.030,117.490,93.570,36.680,227.870,193.330,125.450,173.180,327.670,227.010,27.220,165.700,203.070,104.060,175.680,70.340,33.260
150.470,253.920,463.680,153.060,214.470,137.370,131.250,138.140,158.710,286.520,105.730,59.810,48.410,263.080,116.860,92.600,36.540,233.180,193.100,125.580,175.510,315.510,224.700,26.950,157.630,203.370,103.500,172.220,69.250,33.570
152.590,260.790,464.580,153.920,218.660,138.100,134.620,139.850,160.760,285.570,106.970,60.030,49.050,265.900,119.000,93.360,36.880,230.580,192.970,124.650,182.890,322.150,225.670,28.010,163.910,207.280,102.780,171.760,70.300,33.290
152.990,265.440,465.430,154.350,216.370,139.640,128.260,141.830,153.800,287.970,107.630,60.430,49.060,266.340,118.170,93.100,37.060,234.900,188.120,123.280,182.910,312.190,217.260,28.410,159.810,198.210,102.780,166.490,67.840,33.540
